merrickid,wellname,completiontype,producingstatus,producingmethod,apiwellnumber,routeid,groupid,divisionid,fieldgroupid,areaid,batteryid,stateid,countyid,ariesid,wellviewid,activeflag,mmsapiwellnumber
"1666","Pad 405 Well 1","2","18","1"," 0000000919","19","3","2","53","14","199","42","477","86d7c8a08b4aaa1bc7c599473f5dddda","ea119250-17a3-45a0-bff8-7ec10f6ca6d3","1"," 0000000919"
"613","Pad 201 Well 1","2","9","1"," 0000000175","7","1","1","4","21","53","17","31","f29c21d4897f78948b91f03172341b7b","7360498c-4d1d-41e5-a53e-fb269da45ac6","1"," 0000000175"
"1025","Pad 340 Well 1","2","18","2"," 0000000856","19","3","2","53","11","98","42","149","82b8a3434904411a9fdc43ca87cee70c","fd71c7c8-bc88-40a0-9b7d-ac8495451f4a","1"," 0000000856"
"263","Pad 220 Well 1","2","9","1"," 0000000185","2","1","1","6","18","223","17","31","8c19f571e251e61cb8dd3612f26d5ecf","5eedcf14-fe89-4f1a-9aa0-9687531f51e4","1"," 0000000185"
"283","Pad 150 Well 3","2","9","34"," 0000000106","2","1","1","6","18","224","17","31","0f49c89d1e7298bb9930789c8ed59d48","1e2f3b7b-d906-4b77-b813-ed0d9ed1c4f9","1"," 0000000106"
"2156","Pad 73 Well 5","2","18","1"," 0000000603","0","7","5","18","22","381","17","85","ee26fc66b1369c7625333bedafbfcaf6","a4791c38-7f42-47da-b21c-7a2ca1667a61","1"," 0000000603"
"242","Pad 300 Well 2","2","9","1"," 0000000492","8","1","1","28","1","27","17","81","e4a6222cdb5b34375400904f03d8e6a5","823fbf27-3139-4a34-b46c-7fb03feda92c","1"," 0000000492"
"839","Pad 141 Well 5","2","9","1"," 0000000588","12","1","1","1","24","87","17","85","8f7d807e1f53eff5f9efbe5cb81090fb","25c50f15-0953-4a5f-99b0-29c994dc6424","1"," 0000000588"
"2106","Pad 34 Well 1","2","18","34"," 0000000160","0","7","5","90","47","398","17","31","c6335734dbc0b1ded766421cfc611750","4af92bce-b7d0-40e7-a388-60a0edd6c07f","1"," 0000000160"
"1481","Well 174","1","18","2"," 0000000700","24","6","4","43","16","175","42","123","4e8412ad48562e3c9934f45c3e144d48","d5a7daf7-fbf0-4bc6-910c-7c9232be4723","1"," 0000000700"
"694","Pad 46 Well 1","2","9","34"," 0000000330","9","1","1","20","4","314","17","81","5487315b1286f907165907aa8fc96619","8bd22da5-9431-4107-92be-3815fc55b54e","1"," 0000000330"
"149","Pad 200 Well 3","2","9","1"," 0000000256","6","1","1","19","1","11","17","81","f2217062e9a397a1dca429e7d70bc6ca","3c6c1d55-0f72-409b-b1cf-83a968160d7d","1"," 0000000256"
"148","Pad 200 Well 2","2","9","1"," 0000000465","6","1","1","19","1","11","17","81","47d1e990583c9c67424d369f3414728e","10866833-e4f0-42b7-93e3-31a3415338bb","1"," 0000000465"
"2235","Pad 3 Well 2","2","18","1"," 0000000629","0","7","5","18","22","461","17","85","b0b79da57b95837f14be95aaa4d54cf8","0d5e2556-db00-43b0-86fb-09c4aa4dd5c1","1"," 0000000629"
"2319","Pad 102 Well 3","2","18","1"," 0000000236","0","7","5","90","21","481","17","31","a11f9e533f28593768ebf87075ab34f2","d1c04552-9b54-4806-9c46-7de580071e6c","1"," 0000000236"
"2139","Pad 78 Well 1","2","18","34"," 0000000598","0","7","5","91","46","399","17","85","37d097caf1299d9aa79c2c2b843d2d78","227463b2-65e8-4e6c-b1b0-79c3ad4ee1f3","1"," 0000000598"
"1613","Well 238","1","18","1"," 0000000829","17","3","3","54","12","194","42","149","69d658d0b2859e32cd4dc3b970c8496c","91ff3771-332d-4ffb-b33d-ee6cbb6283c7","1"," 0000000829"
"1348","Well 127","2","18","1"," 0000000822","19","3","3","55","12","160","42","149","c73dfe6c630edb4c1692db67c510f65c","e49b6e96-2d9a-4e7b-be8d-4353492c8658","1"," 0000000822"
"103","Pad 207 Well 2","2","9","1"," 0000000182","3","1","1","10","24","6","17","31","6974ce5ac660610b44d9b9fed0ff9548","7c5da1de-36b3-4f32-bf91-84a1c254d37c","1"," 0000000182"
"2124","Pad 71 Well 1","2","18","34"," 0000000539","0","7","5","18","22","370","17","85","ef41d488755367316f04fc0e0e9dc9fc","b3347f93-7435-48b4-88df-6a9795f0bde8","1"," 0000000539"
"2058","Pad 8 Well 2","2","18","34"," 0000000025","0","7","5","92","20","413","17","31","1359aa933b48b754a2f54adb688bfa77","f857971e-aa2b-4cd7-afe6-ce1427a672de","1"," 0000000025"
"616","Pad 305 Well 1","2","9","1"," 0000000438","8","1","1","19","1","54","17","81","7750ca3559e5b8e1f44210283368fc16","5dedb70b-7365-4a65-bc72-9cf32e7da5e8","1"," 0000000438"
"906","Pad 117 Well 1","2","9","1"," 0000000178","5","1","1","2","18","35","17","31","c8fbbc86abe8bd6a5eb6a3b4d0411301","5f374292-07ad-48ca-99a7-928a4113ba18","1"," 0000000178"
"2152","Pad 38 Well 2","2","18","1"," 0000000145","0","7","5","90","20","361","17","31","a486cd07e4ac3d270571622f4f316ec5","dd7df6aa-7edb-4914-95c6-b24f97414583","1"," 0000000145"
"72","Pad 213 Well 2","2","9","1"," 0000000613","12","1","1","10","24","73","17","85","32bb90e8976aab5298d5da10fe66f21d","36cc3d71-2787-486b-b3f9-e881a60a3879","1"," 0000000613"
"2085","Pad 39 Well 1","2","18","34"," 0000000116","0","7","5","90","20","415","17","31","e0a209539d1e74ab9fe46b9e01a19a97","15aa0bfc-b034-4f35-b321-6a4cde5924a3","1"," 0000000116"
"406","Pad 276 Well 1","2","9","34"," 0000000381","6","1","1","25","1","211","17","81","8cb22bdd0b7ba1ab13d742e22eed8da2","13c2e17e-bb9b-49a5-9447-2d6bbbc83493","1"," 0000000381"
"81","Pad 202 Well 1","2","9","1"," 0000000273","6","1","1","19","1","272","17","81","43ec517d68b6edd3015b3edc9a11367b","3362debf-d8f7-49de-9d9d-b839f1aecadf","1"," 0000000273"
"728","Pad 177 Well 2","2","9","1"," 0000000627","3","1","1","1","8","82","17","85","d4c2e4a3297fe25a71d030b67eb83bfc","1c773de9-0862-485b-97c5-7ce8115bc4e4","1"," 0000000627"
"2110","Pad 44 Well 1","2","18","34"," 0000000167","0","7","5","90","20","369","17","31","c3535febaff29fcb7c0d20cbe94391c7","6d5c5cf5-cdc5-4c0c-a041-b8c1f0c619e5","1"," 0000000167"
"822","Pad 290 Well 1","2","9","1"," 0000000067","7","1","1","4","21","327","17","31","afda332245e2af431fb7b672a68b659d","f09ef9cd-fbe7-4395-84f1-1a18bb84e674","1"," 0000000067"
"125","Pad 323 Well 1","2","9","34"," 0000000282","9","1","1","3","1","218","17","81","3def184ad8f4755ff269862ea77393dd","6a49e8b2-b735-4f0a-a8b3-2ea5a41bae88","1"," 0000000282"
"407","Pad 276 Well 2","2","9","34"," 0000000382","6","1","1","25","1","211","17","81","f4f6dce2f3a0f9dada0c2b5b66452017","10933aa6-f50f-4e10-8e90-3aa848e273d6","1"," 0000000382"
"120","Pad 137 Well 1","2","9","34"," 0000000517","12","1","1","18","24","9","17","85","da4fb5c6e93e74d3df8527599fa62642","4fa12c89-7c41-43bf-9ec4-746e55433518","1"," 0000000517"
"1288","Pad 366 Well 1","2","18","2"," 0000000859","22","3","2","51","11","143","42","149","0e9fa1f3e9e66792401a6972d477dcc3","065a10bc-390f-4b6f-ac3b-d4432c5074e2","1"," 0000000859"
"2150","Pad 40 Well 1","0","18","1"," 0000000049","0","7","5","90","21","443","17","31","24917db15c4e37e421866448c9ab23d8","17455dab-8b19-4029-ada3-3de7930533a5","1"," 0000000049"
"203","Pad 273 Well 2","2","9","1"," 0000000429","11","1","1","19","1","19","17","81","e2c0be24560d78c5e599c2a9c9d0bbd2","77a41569-bfa1-4cce-b063-16b07e7f9dc7","1"," 0000000429"
"352","Pad 301 Well 1","2","9","34"," 0000000278","8","1","1","28","1","295","17","81",,"278030c9-5da7-4263-9c35-320f457a5d24","1"," 0000000278"
"1135","Well 36","2","18","1"," 0000000825","22","3","3","55","12","112","42","149",,"36d4e05d-67a2-44d8-bf7d-b397040bb8f5","1"," 0000000825"
"446","Pad 218 Well 2","2","9","1",,"2","1","1","6","18","231","17","31","1a5b1e4daae265b790965a275b53ae50","c54e8363-1038-40b4-a0c4-7892700f1490","1",
"1515","Well 201","1","18","1"," 0000000811","22","3","3","54","12","180","42","149","bc7316929fe1545bf0b98d114ee3ecb8","f0891da7-6838-40a2-afc1-57543b1d9d11","1"," 0000000811"
"2045","Pad 261 Well 1","2","9","1"," 0000000010","0","1","1","8","9","205","17","15","0189caa552598b845b29b17a427692d1","d2673983-388a-4992-bd97-adb67097f98c","1"," 0000000010"
"271","Pad 147 Well 1","2","9","34"," 0000000101","2","1","1","6","18","31","17","31","7f100b7b36092fb9b06dfb4fac360931","80b91d96-078c-4462-9d21-a8c774b726ae","1"," 0000000101"
"1471","Well 155","1","18","2"," 0000000719","23","6","4","47","16","174","42","123","8b0d268963dd0cfb808aac48a549829f","840bc960-ee36-4961-a681-e93a9ed893e7","1"," 0000000719"
"241","Pad 300 Well 1","2","9","1"," 0000000491","8","1","1","28","1","27","17","81","f340f1b1f65b6df5b5e3f94d95b11daf","4f4bcecb-4e56-401d-b800-22cadbeefa6c","1"," 0000000491"
"2225","Pad 338 Well 2","2","18","1"," 0000000866","0","3","2","51","11","460","42","149","443dec3062d0286986e21dc0631734c9","c5d24377-0007-4e70-b9a4-b94607adf570","1"," 0000000866"
"2266","Pad 372 Well 1","2","18","1"," 0000000949","0","3","2","55","14","468","42","477","eb76c035d5d0a2bd2a0d0834b93c9c26","0f9b834c-44f8-43b1-ab9e-0a664e740095","1"," 0000000949"
"1494","Well 178","1","18","1"," 0000000710","27","6","4","47","16","178","42","123","fcdf25d6e191893e705819b177cddea0","6cd678b3-a2a3-49fb-af63-8937c30135f0","1"," 0000000710"
"838","Pad 141 Well 3","2","9","1"," 0000000569","12","1","1","18","22","87","17","85","f9028faec74be6ec9b852b0a542e2f39","95e1c56e-fa29-47a1-a72c-ba98fceebae8","1"," 0000000569"
"411","Pad 276 Well 4","2","9","34"," 0000000389","6","1","1","19","1","211","17","81","17d63b1625c816c22647a73e1482372b","1dd1bbbc-9aca-454a-a7b2-f1fa342cf293","1"," 0000000389"
